ENSEMBL_Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000165140,715.1100699,2.904912342,0.298681288,9.725792867,2.34E-22,1.06E-19
ENSG00000232810,7041.434534,-2.075950434,0.21553395,-9.63166329,5.88E-22,2.61E-19
ENSG00000102100,1889.265928,-0.835958345,0.086862653,-9.623909834,6.34E-22,2.76E-19
ENSG00000084734,196.1624756,-3.082336433,0.321990256,-9.572763073,1.04E-21,4.44E-19
ENSG00000121316,632.0893486,1.904057709,0.199355816,9.551051735,1.28E-21,5.37E-19
ENSG00000143479,666.9094703,-2.148715956,0.226235064,-9.497714091,2.15E-21,8.80E-19
ENSG00000144597,9710.512077,-1.16654062,0.124002829,-9.407371032,5.09E-21,2.05E-18
ENSG00000130558,56.3087611,3.363653377,0.357707553,9.403361354,5.28E-21,2.09E-18
ENSG00000020181,991.9997766,-1.696183068,0.180512323,-9.396494579,5.64E-21,2.19E-18
ENSG00000135218,1414.836639,3.480115118,0.372855012,9.333695426,1.02E-20,3.90E-18
ENSG00000267737,116.9407207,-2.583829533,0.278309249,-9.284023225,1.63E-20,6.12E-18
ENSG00000134460,6057.206032,-2.855130614,0.309063039,-9.238020244,2.51E-20,9.25E-18
ENSG00000164181,705.9385828,-2.334443462,0.254213318,-9.18301009,4.19E-20,1.52E-17
ENSG00000145979,1524.640126,-1.285765327,0.140772825,-9.133618833,6.62E-20,2.36E-17
ENSG00000172590,2565.091522,-0.979159706,0.107929948,-9.072178035,1.17E-19,4.09E-17
ENSG00000170542,23724.39002,-1.408640033,0.155669413,-9.048919789,1.44E-19,4.98E-17
ENSG00000140932,236.1317436,2.948839017,0.329480476,8.949965877,3.56E-19,1.21E-16
ENSG00000105711,2331.578928,-1.736806052,0.194895236,-8.911485427,5.04E-19,1.68E-16
ENSG00000136161,3086.877668,1.8178069,0.204402949,8.893251811,5.93E-19,1.95E-16
ENSG00000099985,16347.76311,-2.011588359,0.22809368,-8.819132392,1.15E-18,3.74E-16
ENSG00000251196,455.0017221,-1.58805943,0.180146034,-8.815400469,1.19E-18,3.81E-16
ENSG00000038945,182.094007,3.091893137,0.351088773,8.806585044,1.29E-18,4.06E-16
ENSG00000132514,74.09937739,3.665365466,0.416657087,8.797079378,1.40E-18,4.36E-16
ENSG00000165997,5956.475908,-1.511945193,0.172433976,-8.768255726,1.81E-18,5.56E-16
ENSG00000150510,556.4931704,-3.083618425,0.352680019,-8.743388502,2.26E-18,6.83E-16
ENSG00000095970,54.93481008,2.920411929,0.334610148,8.727804416,2.60E-18,7.73E-16
ENSG00000125810,21059.67081,-1.571303286,0.180609749,-8.69999151,3.32E-18,9.75E-16
ENSG00000004846,125.9061483,1.709971834,0.196872742,8.685670838,3.77E-18,1.09E-15
ENSG00000158186,1568.46744,1.319511018,0.152541187,8.650195035,5.14E-18,1.47E-15
ENSG00000074410,775.5247455,-2.579817288,0.298399933,-8.645502232,5.36E-18,1.51E-15
ENSG00000168079,77.58853779,-3.456748591,0.399897479,-8.644086969,5.42E-18,1.51E-15
ENSG00000125733,11588.83725,-2.048873848,0.237597081,-8.623312388,6.50E-18,1.79E-15
ENSG00000122547,1307.255074,2.372625291,0.275191609,8.621721064,6.60E-18,1.79E-15
ENSG00000114315,349.7241664,-2.411250725,0.280566774,-8.594213376,8.38E-18,2.25E-15
ENSG00000124882,14379.77904,-1.962703717,0.228593429,-8.586002342,9.00E-18,2.39E-15
ENSG00000163739,51317.07262,-2.399511624,0.283584325,-8.461369017,2.64E-17,6.92E-15
ENSG00000101347,14120.2083,1.153222375,0.136332007,8.458926148,2.70E-17,6.98E-15
ENSG00000204960,101.0550134,-3.322008115,0.396873786,-8.370439759,5.74E-17,1.47E-14
ENSG00000163235,2185.43617,-1.683686218,0.201744073,-8.345653923,7.08E-17,1.79E-14
ENSG00000123689,20847.00781,-1.313786538,0.158193374,-8.30494037,9.99E-17,2.50E-14
ENSG00000259354,963.4956176,-1.361961466,0.164397987,-8.284538578,1.19E-16,2.93E-14
ENSG00000116711,566.934092,-2.199386124,0.266381141,-8.256538426,1.50E-16,3.66E-14
ENSG00000217555,519.4540799,1.210091267,0.147468108,8.205782791,2.29E-16,5.53E-14
ENSG00000156127,2957.454282,-1.836484032,0.224791784,-8.169711538,3.09E-16,7.38E-14
ENSG00000166396,417.4637356,-3.008398091,0.368458913,-8.16481292,3.22E-16,7.61E-14
ENSG00000174485,8406.061873,-1.204598321,0.147937206,-8.142632661,3.87E-16,9.04E-14
ENSG00000155115,2071.975352,-0.986659565,0.12134909,-8.13075369,4.27E-16,9.87E-14
ENSG00000080371,15350.78635,-1.131390546,0.139568532,-8.106344087,5.22E-16,1.19E-13
ENSG00000126266,1160.882054,-1.979232547,0.245492596,-8.062290183,7.49E-16,1.68E-13
ENSG00000188786,20693.46903,-1.336310017,0.165743661,-8.062510577,7.47E-16,1.68E-13
ENSG00000127666,5045.861726,-1.141755485,0.142125577,-8.033427242,9.48E-16,2.09E-13
ENSG00000188060,392.7078458,2.925178407,0.364150999,8.032872122,9.52E-16,2.09E-13
ENSG00000134802,23784.95873,-1.155104777,0.144057218,-8.018374852,1.07E-15,2.33E-13
ENSG00000136244,7796.49803,-3.309855295,0.412973572,-8.014690332,1.10E-15,2.38E-13
ENSG00000100219,13117.85756,-1.397235742,0.174665245,-7.999506369,1.25E-15,2.64E-13
ENSG00000163563,3109.873769,2.796469862,0.349533443,8.000578813,1.24E-15,2.64E-13
ENSG00000249786,2209.812967,-1.151890618,0.144078809,-7.994864955,1.30E-15,2.71E-13
ENSG00000113302,1172.97544,-2.382211203,0.299166153,-7.962836647,1.68E-15,3.48E-13
ENSG00000163874,20777.03432,-1.554991123,0.195307686,-7.961750795,1.70E-15,3.48E-13
ENSG00000108700,446.3107292,2.771339625,0.348361883,7.95534689,1.79E-15,3.63E-13
ENSG00000128342,663.9054523,-1.21053115,0.15256229,-7.934668184,2.11E-15,4.25E-13
ENSG00000271614,792.6615285,-2.044591564,0.257929746,-7.926932035,2.25E-15,4.48E-13
ENSG00000173578,259.8029574,2.409865091,0.304208919,7.921743711,2.34E-15,4.63E-13
ENSG00000232803,142.1812542,-2.208802941,0.280359314,-7.878471757,3.31E-15,6.49E-13
ENSG00000226479,4453.529627,-1.209013337,0.153804,-7.860740526,3.82E-15,7.41E-13
ENSG00000147883,487.1735214,-1.382979836,0.175971528,-7.859111346,3.87E-15,7.44E-13
ENSG00000250616,138.8989116,2.221856331,0.28352472,7.836552427,4.63E-15,8.83E-13
ENSG00000162433,1333.238443,-1.319317711,0.168970764,-7.807964383,5.81E-15,1.10E-12
ENSG00000078401,1120.3867,-2.740002645,0.351217987,-7.801430301,6.12E-15,1.14E-12
ENSG00000165757,78.76635033,-2.364776164,0.30311095,-7.801685026,6.11E-15,1.14E-12
ENSG00000102575,6635.395639,2.005680892,0.257353426,7.793488216,6.52E-15,1.20E-12
ENSG00000175899,204.1125509,2.306920837,0.297219728,7.761667956,8.38E-15,1.53E-12
ENSG00000167617,42.16176133,-3.049007261,0.393010512,-7.758080675,8.62E-15,1.56E-12
ENSG00000099860,23511.96006,-1.574115785,0.202975727,-7.755192259,8.82E-15,1.57E-12
ENSG00000276600,567.0674855,3.049618371,0.393247772,7.754953967,8.84E-15,1.57E-12
ENSG00000162747,11862.12483,3.118628644,0.402516247,7.747832948,9.35E-15,1.65E-12
ENSG00000213694,575.6967695,-2.099756866,0.271099728,-7.745330048,9.53E-15,1.67E-12
ENSG00000134532,330.55582,-1.864809119,0.241500222,-7.721769802,1.15E-14,2.00E-12
ENSG00000230647,293.4803928,-2.118658515,0.275377117,-7.693662189,1.43E-14,2.47E-12
ENSG00000214688,175.4742101,2.040273722,0.265351187,7.688956462,1.48E-14,2.54E-12
ENSG00000230438,4718.797715,-1.683419581,0.220308153,-7.641204193,2.15E-14,3.65E-12
ENSG00000071242,1577.082246,1.209418492,0.158397592,7.635333831,2.25E-14,3.80E-12
ENSG00000236790,213.6491244,-1.825217216,0.23930502,-7.627158078,2.40E-14,4.01E-12
ENSG00000105707,964.9848373,-1.954253503,0.256335744,-7.623804124,2.46E-14,4.08E-12
